account number,SYMBOL,Invest to,,,,FACTOR
987654321,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654322,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654323,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654324,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654325,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654326,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654327,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654328,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654329,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654330,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654331,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654332,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654333,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654334,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654335,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654336,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654337,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654338,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654339,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654340,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654341,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654342,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654343,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654344,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654345,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654346,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654347,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654348,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654349,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654350,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654351,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654352,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
987654353,SAOIX,Guggenheim Alpha Opportunity Fund Institutional Class,1.68,1398,1421.4864,0.029850746
987654354,AEMZX,Acadian Emerging Markets Portfolio Class I,2.01,1503,1533.2103,0.026578073
987654355,RLEMX,Lazard Emerging Markets Equity Portfolio R6 Shares,1.66,1344,1366.3104,0.030075188
987654356,QFVIX,Pear Tree Polaris Foreign Value Fund Class Institutional,2.27,1723,1762.1121,0.024464832
987654357,DPSYX,BNY Mellon Structured MidCap Fund Class Y,2.23,1686,1723.5978,0.024767802
